-----------------COUNT WORDS-------------------
-----------------------------------------------
820626 words be counted!Details are as follow:
no.              word       time      frequency
-----------------------------------------------
    1                 the   65811    8.019609%
    2                 and   44979    5.481060%
    3                  of   37898    4.618182%
    4                  to   26504    3.229729%
    5                  in   15146    1.845664%
    6                 you   12092    1.473509%
    7                 for   12020    1.464735%
    8                will   10698    1.303639%
    9                  is   10308    1.256114%
   10                 his    9336    1.137668%
   11                  he    9147    1.114637%
   12                  be    9128    1.112322%
   13                your    7849    0.956465%
   14                have    7107    0.866046%
   15                  on    6955    0.847524%
   16                lord    6743    0.821690%
   17                 not    6119    0.745650%
   18                they    6100    0.743335%
   19                with    5991    0.730052%
   20                 are    5931    0.722741%
   21                  it    5894    0.718232%
   22                 was    5860    0.714089%
   23                 all    5837    0.711286%
   24                  my    5664    0.690205%
   25                 who    5657    0.689352%
   26                said    5584    0.680456%
   27                from    5544    0.675582%
   28                that    5541    0.675216%
   29                 him    5347    0.651576%
   30               their    4988    0.607829%
   31                them    4709    0.573830%
   32                 put    4517    0.550433%
   33                 but    4477    0.545559%
   34                give    4125    0.502665%
   35                  by    4071    0.496085%
   36                  so    3923    0.478050%
   37                 has    3787    0.461477%
   38                 had    3682    0.448682%
   39               which    3659    0.445879%
   40                made    3608    0.439664%
   41                 god    3556    0.433328%
   42                come    3553    0.432962%
   43                were    3456    0.421142%
   44                  me    3389    0.412977%
   45                this    3374    0.411150%
   46                  as    3357    0.409078%
   47                  no    3316    0.404082%
   48                  up    3137    0.382269%
   49                 let    3073    0.374470%
   50                 out    2965    0.361310%
   51                  go    2884    0.351439%
   52                when    2858    0.348271%
   53                make    2781    0.338888%
   54                 man    2747    0.334744%
   55                came    2730    0.332673%
   56                then    2725    0.332064%
   57                take    2632    0.320731%
   58                went    2521    0.307204%
   59               there    2447    0.298187%
   60                 one    2340    0.285148%
   61              people    2301    0.280396%
   62                 son    2300    0.280274%
   63                 may    2298    0.280030%
   64                king    2288    0.278812%
   65                gave    2181    0.265773%
   66                  do    2158    0.262970%
   67              israel    2125    0.258949%
   68                into    2098    0.255658%
   69                  or    2081    0.253587%
   70                  if    2080    0.253465%
   71                land    1968    0.239817%
   72                  an    1964    0.239329%
   73              before    1953    0.237989%
   74               those    1949    0.237502%
   75                  at    1947    0.237258%
   76                 men    1939    0.236283%
   77             because    1885    0.229703%
   78                 now    1859    0.226534%
   79                what    1859    0.226534%
   80             against    1845    0.224828%
   81                 her    1833    0.223366%
   82                away    1753    0.213617%
   83               given    1749    0.213130%
   84                took    1745    0.212643%
   85            children    1744    0.212521%
   86                 say    1734    0.211302%
   87                 see    1654    0.201553%
   88                been    1652    0.201310%
   89                  we    1641    0.199969%
   90               great    1537    0.187296%
   91               house    1523    0.185590%
   92                like    1450    0.176694%
   93               death    1425    0.173648%
   94                 day    1416    0.172551%
   95               these    1398    0.170358%
   96               place    1378    0.167921%
   97                 our    1368    0.166702%
   98               after    1366    0.166458%
   99                back    1343    0.163656%
  100                  am    1292    0.157441%
  101                  us    1292    0.157441%
  102                evil    1268    0.154516%
  103                sent    1237    0.150739%
  104                down    1205    0.146839%
  105              things    1204    0.146717%
  106                keep    1196    0.145742%
  107               every    1188    0.144768%
  108                sons    1180    0.143793%
  109                 did    1134    0.138187%
  110                holy    1122    0.136725%
  111                over    1093    0.133191%
  112               earth    1070    0.130388%
  113               among    1051    0.128073%
  114                word    1046    0.127464%
  115                 its    1041    0.126854%
  116              father    1022    0.124539%
  117               taken    1019    0.124173%
  118              living    1015    0.123686%
  119                good    1005    0.122467%
  120                 way     989    0.120518%
  121                 get     982    0.119665%
  122               about     977    0.119055%
  123               words     977    0.119055%
  124                even     951    0.115887%
  125                 she     946    0.115278%
  126                food     944    0.115034%
  127               david     938    0.114303%
  128           knowledge     924    0.112597%
  129                time     911    0.111013%
  130             without     889    0.108332%
  131                name     882    0.107479%
  132               jesus     861    0.104920%
  133             through     850    0.103579%
  134                fear     841    0.102483%
  135                says     832    0.101386%
  136                done     832    0.101386%
  137              saying     831    0.101264%
  138                 saw     826    0.100655%
  139                town     820    0.099924%
  140                full     816    0.099436%
  141                 two     815    0.099314%
  142                hand     782    0.095293%
  143                whom     781    0.095171%
  144            offering     775    0.094440%
  145                life     765    0.093222%
  146               right     748    0.091150%
  147               hands     737    0.089809%
  148                send     737    0.089809%
  149               heart     729    0.088835%
  150                 any     725    0.088347%
  151                eyes     722    0.087982%
  152               judah     713    0.086885%
  153                 got     695    0.084691%
  154               faith     690    0.084082%
  155               moses     687    0.083717%
  156               where     683    0.083229%
  157              orders     677    0.082498%
  158            servants     676    0.082376%
  159               again     669    0.081523%
  160               whose     661    0.080548%
  161            together     659    0.080305%
  162             servant     658    0.080183%
  163           jerusalem     652    0.079452%
  164               would     646    0.078720%
  165                than     642    0.078233%
  166                days     642    0.078233%
  167               kings     641    0.078111%
  168               waste     628    0.076527%
  169                 ear     618    0.075308%
  170                 end     617    0.075187%
  171                till     611    0.074455%
  172               cause     601    0.073237%
  173               first     600    0.073115%
  174                rest     598    0.072871%
  175                work     589    0.071774%
  176                kept     589    0.071774%
  177              turned     588    0.071653%
  178             fathers     582    0.070921%
  179                 how     570    0.069459%
  180               clear     569    0.069337%
  181                side     568    0.069215%
  182         destruction     566    0.068972%
  183             hundred     562    0.068484%
  184              strong     562    0.068484%
  185                gone     561    0.068362%
  186                only     560    0.068241%
  187               other     554    0.067509%
  188              spirit     550    0.067022%
  189                more     546    0.066535%
  190                seen     544    0.066291%
  191                high     529    0.064463%
  192               power     526    0.064097%
  193               comes     525    0.063976%
  194              answer     525    0.063976%
  195                able     524    0.063854%
  196               under     524    0.063854%
  197               might     523    0.063732%
  198              heaven     517    0.063001%
  199              number     515    0.062757%
  200            brothers     513    0.062513%
  201              burned     499    0.060807%
  202             himself     497    0.060564%
  203               round     494    0.060198%
  204               voice     490    0.059711%
  205                 sin     490    0.059711%
  206                face     485    0.059101%
  207               egypt     483    0.058858%
  208                true     482    0.058736%
  209               glory     482    0.058736%
  210              became     478    0.058248%
  211                 law     470    0.057273%
  212                fire     467    0.056908%
  213            thousand     466    0.056786%
  214             another     465    0.056664%
  215               young     461    0.056177%
  216               years     458    0.055811%
  217                ever     458    0.055811%
  218               false     454    0.055324%
  219              priest     454    0.055324%
  220                part     453    0.055202%
  221             certain     451    0.054958%
  222                 why     447    0.054471%
  223               three     447    0.054471%
  224                some     444    0.054105%
  225             nations     444    0.054105%
  226             priests     444    0.054105%
  227               gives     443    0.053983%
  228                 off     442    0.053861%
  229               still     441    0.053739%
  230                dead     429    0.052277%
  231               seven     429    0.052277%
  232                love     422    0.051424%
  233                gold     421    0.051302%
  234               towns     420    0.051180%
  235                near     418    0.050937%
  236                same     418    0.050937%
  237                news     416    0.050693%
  238              become     416    0.050693%
  239              broken     415    0.050571%
  240               woman     415    0.050571%
  241              praise     412    0.050206%
  242               wrath     408    0.049718%
  243                 war     408    0.049718%
  244           offerings     407    0.049596%
  245               truly     405    0.049353%
  246               going     405    0.049353%
  247                 cut     405    0.049353%
  248             nothing     404    0.049231%
  249              desire     402    0.048987%
  250                body     400    0.048743%
  251             looking     397    0.048378%
  252             unclean     396    0.048256%
  253              christ     395    0.048134%
  254                gods     391    0.047647%
  255               mercy     387    0.047159%
  256              coming     387    0.047159%
  257               water     386    0.047037%
  258            heritage     385    0.046915%
  259                does     376    0.045819%
  260               while     374    0.045575%
  261                year     373    0.045453%
  262              family     370    0.045088%
  263               sword     369    0.044966%
  264              making     366    0.044600%
  265              prayer     365    0.044478%
  266                long     363    0.044235%
  267                 old     362    0.044113%
  268                care     361    0.043991%
  269               blood     361    0.043991%
  270             kingdom     360    0.043869%
  271                goes     359    0.043747%
  272                 far     357    0.043503%
  273              giving     357    0.043503%
  274               flesh     356    0.043382%
  275                head     353    0.043016%
  276                mind     353    0.043016%
  277               sheep     352    0.042894%
  278             purpose     352    0.042894%
  279                wife     350    0.042650%
  280               ready     350    0.042650%
  281          punishment     350    0.042650%
  282                open     345    0.042041%
  283               chief     344    0.041919%
  284             upright     344    0.041919%
  285                saul     342    0.041676%
  286               makes     342    0.041676%
  287                free     340    0.041432%
  288           agreement     340    0.041432%
  289                well     338    0.041188%
  290              having     336    0.040944%
  291                ears     335    0.040822%
  292             hearing     333    0.040579%
  293              places     332    0.040457%
  294             burning     331    0.040335%
  295               lords     328    0.039969%
  296       righteousness     326    0.039726%
  297          themselves     326    0.039726%
  298                very     326    0.039726%
  299                ways     326    0.039726%
  300                 sea     324    0.039482%
  301                safe     323    0.039360%
  302               order     320    0.038995%
  303               shame     320    0.038995%
  304               jacob     319    0.038873%
  305            blessing     319    0.038873%
  306               altar     319    0.038873%
  307               being     317    0.038629%
  308             trouble     316    0.038507%
  309            strength     313    0.038142%
  310                 joy     313    0.038142%
  311              flight     311    0.037898%
  312             brother     309    0.037654%
  313              hearts     308    0.037532%
  314               thing     307    0.037410%
  315                need     307    0.037410%
  316               mouth     305    0.037167%
  317               takes     303    0.036923%
  318              silver     302    0.036801%
  319              armies     301    0.036679%
  320                army     300    0.036557%
  321               birth     300    0.036557%
  322                meal     298    0.036314%
  323                tent     297    0.036192%
  324               bread     295    0.035948%
  325              secret     292    0.035583%
  326               peace     292    0.035583%
  327               named     291    0.035461%
  328               aaron     290    0.035339%
  329            daughter     289    0.035217%
  330                here     288    0.035095%
  331             prophet     288    0.035095%
  332           salvation     287    0.034973%
  333                feet     287    0.034973%
  334            teaching     285    0.034730%
  335               light     285    0.034730%
  336             turning     284    0.034608%
  337                wise     280    0.034120%
  338               night     280    0.034120%
  339                such     278    0.033877%
  340              lifted     277    0.033755%
  341               child     277    0.033755%
  342            overcome     277    0.033755%
  343                seed     274    0.033389%
  344                oath     274    0.033389%
  345              wealth     274    0.033389%
  346               ruler     273    0.033267%
  347              taking     273    0.033267%
  348             country     270    0.032902%
  349                four     269    0.032780%
  350             witness     268    0.032658%
  351               grain     265    0.032292%
  352             meeting     262    0.031927%
  353               clean     261    0.031805%
  354               never     259    0.031561%
  355                much     258    0.031439%
  356             worship     258    0.031439%
  357                 oil     257    0.031318%
  358              honour     255    0.031074%
  359                 cry     254    0.030952%
  360              wisdom     254    0.030952%
  361                soul     252    0.030708%
  362                five     251    0.030586%
  363              rulers     250    0.030465%
  364              though     250    0.030465%
  365            prophets     249    0.030343%
  366                glad     249    0.030343%
  367               times     249    0.030343%
  368            families     248    0.030221%
  369              little     247    0.030099%
  370             between     247    0.030099%
  371             waiting     246    0.029977%
  372                wine     245    0.029855%
  373             solomon     243    0.029612%
  374              waters     242    0.029490%
  375          everything     242    0.029490%
  376                help     241    0.029368%
  377               tents     240    0.029246%
  378              seated     240    0.029246%
  379            pleasure     238    0.029002%
  380              mother     238    0.029002%
  381               pride     236    0.028759%
  382            clothing     235    0.028637%
  383               wrong     235    0.028637%
  384               drink     235    0.028637%
  385             levites     234    0.028515%
  386               fruit     233    0.028393%
  387                jews     231    0.028149%
  388                hard     230    0.028027%
  389               month     229    0.027906%
  390                poor     227    0.027662%
  391             babylon     227    0.027662%
  392               women     226    0.027540%
  393             foolish     226    0.027540%
  394               money     224    0.027296%
  395           disciples     224    0.027296%
  396               grace     224    0.027296%
  397               doing     223    0.027174%
  398             weeping     222    0.027053%
  399           authority     222    0.027053%
  400                hope     222    0.027053%
  401             strange     221    0.026931%
  402          yourselves     220    0.026809%
  403               field     217    0.026443%
  404                 ten     217    0.026443%
  405         philistines     217    0.026443%
  406                 ark     214    0.026078%
  407            mountain     213    0.025956%
  408                seat     213    0.025956%
  409                ones     211    0.025712%
  410            whatever     211    0.025712%
  411         responsible     209    0.025468%
  412                 use     209    0.025468%
  413               angry     208    0.025347%
  414            building     208    0.025347%
  415             request     208    0.025347%
  416              joseph     207    0.025225%
  417              cubits     207    0.025225%
  418              joshua     206    0.025103%
  419              sorrow     206    0.025103%
  420             quickly     206    0.025103%
  421            everyone     206    0.025103%
  422             morning     205    0.024981%
  423             abraham     205    0.024981%
  424           daughters     205    0.024981%
  425                 new     203    0.024737%
  426                door     202    0.024615%
  427              crying     201    0.024493%
  428             thought     201    0.024493%
  429                dark     200    0.024372%
  430               works     199    0.024250%
  431                best     199    0.024250%
  432              longer     198    0.024128%
  433              reason     197    0.024006%
  434             putting     197    0.024006%
  435             pharaoh     195    0.023762%
  436             account     195    0.023762%
  437                 dry     193    0.023519%
  438               fixed     193    0.023519%
  439               angel     192    0.023397%
  440               world     191    0.023275%
  441              anyone     191    0.023275%
  442                east     191    0.023275%
  443              bitter     191    0.023275%
  444               cruel     191    0.023275%
  445              beasts     189    0.023031%
  446                male     189    0.023031%
  447              haters     187    0.022787%
  448             covered     187    0.022787%
  449              chiefs     187    0.022787%
  450                  ox     187    0.022787%
  451                mans     186    0.022666%
  452        restingplace     184    0.022422%
  453               heads     183    0.022300%
  454              second     181    0.022056%
  455               loose     181    0.022056%
  456             talking     181    0.022056%
  457                book     181    0.022056%
  458               small     180    0.021934%
  459               grief     180    0.021934%
  460            yourself     179    0.021813%
  461              stones     179    0.021813%
  462              enough     179    0.021813%
  463               stone     178    0.021691%
  464               tribe     178    0.021691%
  465             peoples     177    0.021569%
  466                sins     177    0.021569%
  467               goods     177    0.021569%
  468           stretched     175    0.021325%
  469              better     175    0.021325%
  470             vessels     175    0.021325%
  471             doorway     175    0.021325%
  472                puts     175    0.021325%
  473                sign     174    0.021203%
  474                shut     174    0.021203%
  475                loud     174    0.021203%
  476             disease     173    0.021081%
  477               judge     172    0.020960%
  478               moved     171    0.020838%
  479                 six     170    0.020716%
  480           attention     169    0.020594%
  481              houses     169    0.020594%
  482                wide     169    0.020594%
  483            captains     168    0.020472%
  484            anything     168    0.020472%
  485                wall     167    0.020350%
  486               parts     166    0.020228%
  487             falling     166    0.020228%
  488                oxen     165    0.020107%
  489              memory     165    0.020107%
  490              master     165    0.020107%
  491                last     165    0.020107%
  492               curse     164    0.019985%
  493               third     164    0.019985%
  494               feast     163    0.019863%
  495              jordan     163    0.019863%
  496            decision     162    0.019741%
  497             measure     161    0.019619%
  498            straight     161    0.019619%
  499                deep     161    0.019619%
  500              others     160    0.019497%
  501                acts     160    0.019497%
  502               beast     160    0.019497%
  503           mountains     160    0.019497%
  504              valley     159    0.019375%
  505            troubled     158    0.019254%
  506             causing     158    0.019254%
  507                 fat     158    0.019254%
  508               sound     158    0.019254%
  509             payment     158    0.019254%
  510               sense     158    0.019254%
  511             crushed     157    0.019132%
  512             shaking     157    0.019132%
  513               price     156    0.019010%
  514          disgusting     155    0.018888%
  515             greater     155    0.018888%
  516                wood     154    0.018766%
  517                moab     154    0.018766%
  518              twelve     154    0.018766%
  519             cutting     153    0.018644%
  520            position     153    0.018644%
  521            property     153    0.018644%
  522              nation     153    0.018644%
  523              marked     152    0.018522%
  524              myself     152    0.018522%
  525             ephraim     151    0.018401%
  526               peter     147    0.017913%
  527            jeremiah     146    0.017791%
  528              twenty     145    0.017669%
  529               south     145    0.017669%
  530                most     145    0.017669%
  531             eternal     144    0.017548%
  532              temple     144    0.017548%
  533                paul     144    0.017548%
  534            benjamin     144    0.017548%
  535             outside     144    0.017548%
  536                rule     143    0.017426%
  537                rock     142    0.017304%
  538               north     142    0.017304%
  539             working     142    0.017304%
  540            fighting     142    0.017304%
  541             keeping     141    0.017182%
  542                 low     140    0.017060%
  543           certainly     140    0.017060%
  544                song     139    0.016938%
  545               brass     139    0.016938%
  546                dust     139    0.016938%
  547              weight     138    0.016816%
  548               wives     137    0.016695%
  549               river     137    0.016695%
  550               doors     137    0.016695%
  551              inside     137    0.016695%
  552                wind     137    0.016695%
  553              middle     136    0.016573%
  554             captain     136    0.016573%
  555           prisoners     136    0.016573%
  556                zion     135    0.016451%
  557                hair     134    0.016329%
  558              reward     133    0.016207%
  559               quiet     133    0.016207%
  560              attack     133    0.016207%
  561                past     132    0.016085%
  562                 sun     131    0.015963%
  563                joab     131    0.015963%
  564               today     131    0.015963%
  565               armed     130    0.015842%
  566                band     130    0.015842%
  567            manasseh     129    0.015720%
  568             writing     129    0.015720%
  569              samuel     128    0.015598%
  570             saviour     128    0.015598%
  571              effect     128    0.015598%
  572             driving     128    0.015598%
  573                 rod     128    0.015598%
  574                used     127    0.015476%
  575               front     126    0.015354%
  576              images     126    0.015354%
  577             husband     126    0.015354%
  578             whoever     125    0.015232%
  579              cattle     124    0.015110%
  580            hezekiah     124    0.015110%
  581                tree     124    0.015110%
  582                john     123    0.014989%
  583               sweet     123    0.014989%
  584              search     123    0.014989%
  585               signs     122    0.014867%
  586            numbered     121    0.014745%
  587               keeps     121    0.014745%
  588                fate     121    0.014745%
  589            division     121    0.014745%
  590            recorded     121    0.014745%
  591              seeing     120    0.014623%
  592             lifting     120    0.014623%
  593                arms     119    0.014501%
  594             pillars     119    0.014501%
  595                note     119    0.014501%
  596                pain     119    0.014501%
  597             ordered     119    0.014501%
  598               force     118    0.014379%
  599               image     118    0.014379%
  600              feeble     118    0.014379%
  601               fifty     117    0.014257%
  602                lips     116    0.014136%
  603             forward     116    0.014136%
  604               fight     116    0.014136%
  605             heavens     115    0.014014%
  606                 red     115    0.014014%
  607             violent     115    0.014014%
  608              wonder     115    0.014014%
  609               early     115    0.014014%
  610               rules     114    0.013892%
  611            possible     114    0.013892%
  612            jonathan     114    0.013892%
  613             judging     114    0.013892%
  614         forgiveness     114    0.013892%
  615             getting     113    0.013770%
  616               loved     112    0.013648%
  617             evening     112    0.013648%
  618             seventh     112    0.013648%
  619           wandering     112    0.013648%
  620               limit     111    0.013526%
  621            pleasing     111    0.013526%
  622              thirty     111    0.013526%
  623               robes     111    0.013526%
  624               cloud     110    0.013404%
  625              horses     110    0.013404%
  626             walking     110    0.013404%
  627          generation     109    0.013283%
  628             sabbath     109    0.013283%
  629            complete     109    0.013283%
  630           decisions     108    0.013161%
  631               isaac     108    0.013161%
  632                 bed     107    0.013039%
  633              bodies     107    0.013039%
  634               flock     106    0.012917%
  635                laws     106    0.012917%
  636               yours     105    0.012795%
  637                gets     105    0.012795%
  638             samaria     105    0.012795%
  639             lordEze     105    0.012795%
  640                pity     105    0.012795%
  641         instruments     104    0.012673%
  642              profit     104    0.012673%
  643               watch     104    0.012673%
  644               cover     104    0.012673%
  645           increased     104    0.012673%
  646               tenth     104    0.012673%
  647          wrongdoing     104    0.012673%
  648             changed     104    0.012673%
  649                mark     104    0.012673%
  650             designs     104    0.012673%
  651              across     102    0.012430%
  652            writings     102    0.012430%
  653               linen     102    0.012430%
  654             assyria     102    0.012430%
  655             delight     102    0.012430%
  656               mount     102    0.012430%
  657            question     102    0.012430%
  658             flowing     102    0.012430%
  659              tribes     102    0.012430%
  660             spirits     101    0.012308%
  661               birds     101    0.012308%
  662             sinners     101    0.012308%
  663              judged     101    0.012308%
  664                fair     101    0.012308%
  665               forty     100    0.012186%
  666              deceit     100    0.012186%
  667            addition     100    0.012186%
  668              ruling      99    0.012064%
  669           evildoing      99    0.012064%
  670                 top      99    0.012064%
  671                rain      98    0.011942%
  672                sort      98    0.011942%
  673             mothers      98    0.011942%
  674                west      98    0.011942%
  675                room      98    0.011942%
  676            covering      97    0.011820%
  677             lordJer      97    0.011820%
  678               horns      97    0.011820%
  679                half      96    0.011698%
  680             shekels      96    0.011698%
  681            business      96    0.011698%
  682               walls      96    0.011698%
  683            thoughts      96    0.011698%
  684                iron      95    0.011577%
  685                hate      95    0.011577%
  686                robe      95    0.011577%
  687               store      94    0.011455%
  688            overtake      94    0.011455%
  689              moving      94    0.011455%
  690               sharp      94    0.011455%
  691              sister      94    0.011455%
  692              danger      94    0.011455%
  693        circumcision      93    0.011333%
  694               happy      93    0.011333%
  695                horn      93    0.011333%
  696               value      93    0.011333%
  697             sending      93    0.011333%
  698              vessel      93    0.011333%
  699           evildoers      93    0.011333%
  700              fields      92    0.011211%
  701               names      92    0.011211%
  702           behaviour      92    0.011211%
  703             friends      92    0.011211%
  704                talk      92    0.011211%
  705                sees      91    0.011089%
  706            jeroboam      91    0.011089%
  707             shining      91    0.011089%
  708                hole      91    0.011089%
  709          unchanging      91    0.011089%
  710               sport      91    0.011089%
  711           answering      90    0.010967%
  712           neighbour      90    0.010967%
  713               trees      90    0.010967%
  714                lion      90    0.010967%
  715             running      90    0.010967%
  716                 yes      90    0.010967%
  717            crushing      90    0.010967%
  718             respect      90    0.010967%
  719             offered      89    0.010845%
  720                form      89    0.010845%
  721         sinoffering      89    0.010845%
  722              angels      89    0.010845%
  723               seems      88    0.010724%
  724           searching      88    0.010724%
  725               mePsm      88    0.010724%
  726              elijah      87    0.010602%
  727              vision      87    0.010602%
  728                edge      87    0.010602%
  729             numbers      87    0.010602%
  730            branches      87    0.010602%
  731             everPsm      86    0.010480%
  732           conscious      86    0.010480%
  733            sounding      86    0.010480%
  734               cries      86    0.010480%
  735            desiring      85    0.010358%
  736           pharisees      85    0.010358%
  737           beautiful      85    0.010358%
  738               mixed      85    0.010358%
  739                mine      85    0.010358%
  740              youDeu      85    0.010358%
  741              gilead      84    0.010236%
  742               bones      84    0.010236%
  743                foot      83    0.010114%
  744               blows      83    0.010114%
  745              church      83    0.010114%
  746              washed      83    0.010114%
  747           direction      83    0.010114%
  748         generations      83    0.010114%
  749                seem      83    0.010114%
  750             lordLev      83    0.010114%
  751               table      83    0.010114%
  752             opinion      83    0.010114%
  753          completely      83    0.010114%
  754             absalom      83    0.010114%
  755             comfort      83    0.010114%
  756              prison      83    0.010114%
  757              joined      83    0.010114%
  758         jehoshaphat      83    0.010114%
  759               ammon      82    0.009992%
  760              judges      82    0.009992%
  761               faces      82    0.009992%
  762            overcame      82    0.009992%
  763                 eye      82    0.009992%
  764                ahab      82    0.009992%
  765             prayers      82    0.009992%
  766               blind      82    0.009992%
  767            secretly      82    0.009992%
  768               songs      82    0.009992%
  769              tongue      82    0.009992%
  770             greatly      82    0.009992%
  771              saints      81    0.009871%
  772            evildoer      81    0.009871%
  773        warcarriages      81    0.009871%
  774             undergo      80    0.009749%
  775             present      80    0.009749%
  776                edom      80    0.009749%
  777         hillcountry      80    0.009749%
  778             clothed      80    0.009749%
  779            gentiles      80    0.009749%
  780                 ass      80    0.009749%
  781               grass      80    0.009749%
  782               bands      79    0.009627%
  783                skin      79    0.009627%
  784              daniel      79    0.009627%
  785                dear      78    0.009505%
  786                 bad      78    0.009505%
  787                lamb      78    0.009505%
  788           egyptians      78    0.009505%
  789              fourth      78    0.009505%
  790             journey      78    0.009505%
  791              cursed      77    0.009383%
  792              letter      76    0.009261%
  793             married      76    0.009261%
  794               sleep      76    0.009261%
  795               dream      76    0.009261%
  796           offspring      75    0.009139%
  797              winged      75    0.009139%
  798              square      75    0.009139%
  799                bent      75    0.009139%
  800               smell      75    0.009139%
  801             support      75    0.009139%
  802                line      74    0.009018%
  803             wonders      74    0.009018%
  804               sends      74    0.009018%
  805             baptism      74    0.009018%
  806               minds      74    0.009018%
  807                 cup      74    0.009018%
  808             eleazar      74    0.009018%
  809              shamed      73    0.008896%
  810              chance      73    0.008896%
  811             opening      73    0.008896%
  812              canaan      73    0.008896%
  813               steps      73    0.008896%
  814              davids      73    0.008896%
  815              friend      73    0.008896%
  816              design      73    0.008896%
  817               white      73    0.008896%
  818         livingplace      72    0.008774%
  819                 ill      72    0.008774%
  820               error      71    0.008652%
  821              acting      71    0.008652%
  822          directions      71    0.008652%
  823               story      71    0.008652%
  824            touching      71    0.008652%
  825              forced      70    0.008530%
  826                base      70    0.008530%
  827            prisoner      70    0.008530%
  828             keepers      70    0.008530%
  829            selahPsm      69    0.008408%
  830                yoke      69    0.008408%
  831               simon      69    0.008408%
  832               wings      69    0.008408%
  833              wasted      69    0.008408%
  834               hater      69    0.008408%
  835           preaching      69    0.008408%
  836                esau      69    0.008408%
  837          underworld      69    0.008408%
  838                heat      68    0.008286%
  839               space      68    0.008286%
  840            passover      68    0.008286%
  841             resting      68    0.008286%
  842              placed      68    0.008286%
  843              forces      68    0.008286%
  844              guided      68    0.008286%
  845               lands      68    0.008286%
  846             desires      67    0.008164%
  847              lights      67    0.008164%
  848             seventy      67    0.008164%
  849               bases      67    0.008164%
  850                 arm      67    0.008164%
  851              keeper      67    0.008164%
  852                 job      67    0.008164%
  853              public      67    0.008164%
  854               short      67    0.008164%
  855              sinner      67    0.008164%
  856                hour      67    0.008164%
  857                 gad      66    0.008043%
  858             guiding      66    0.008043%
  859            wherever      66    0.008043%
  860              reuben      66    0.008043%
  861                loss      66    0.008043%
  862           different      65    0.007921%
  863              breath      65    0.007921%
  864              stream      65    0.007921%
  865               noise      65    0.007921%
  866              himLuk      65    0.007921%
  867            relation      65    0.007921%
  868              seemed      64    0.007799%
  869            watching      64    0.007799%
  870                 net      64    0.007799%
  871              pillar      64    0.007799%
  872              hebron      64    0.007799%
  873              freely      64    0.007799%
  874             passion      64    0.007799%
  875          stretching      64    0.007799%
  876              flocks      64    0.007799%
  877                levi      63    0.007677%
  878      peaceofferings      63    0.007677%
  879             planted      63    0.007677%
  880           selection      63    0.007677%
  881             pleased      63    0.007677%
  882               cakes      63    0.007677%
  883                kind      63    0.007677%
  884             scribes      63    0.007677%
  885             regular      63    0.007677%
  886              bethel      63    0.007677%
  887              expert      62    0.007555%
  888              belief      62    0.007555%
  889             lordPsm      62    0.007555%
  890           relations      62    0.007555%
  891               crown      62    0.007555%
  892                meat      61    0.007433%
  893               inner      61    0.007433%
  894            opposite      61    0.007433%
  895               cords      61    0.007433%
  896            separate      61    0.007433%
  897              chains      61    0.007433%
  898                test      60    0.007311%
  899               tower      60    0.007311%
  900              balaam      60    0.007311%
  901              himJhn      60    0.007311%
  902               stars      60    0.007311%
  903                aram      60    0.007311%
  904          connection      60    0.007311%
  905            amorites      60    0.007311%
  906              grapes      60    0.007311%
  907                vine      60    0.007311%
  908                road      60    0.007311%
  909              common      60    0.007311%
  910            perfumes      59    0.007190%
  911              oldest      59    0.007190%
  912                 dan      59    0.007190%
  913            israelKi      59    0.007190%
  914               rooms      59    0.007190%
  915               himSa      59    0.007190%
  916             hanging      59    0.007190%
  917        uncontrolled      59    0.007190%
  918                rods      59    0.007190%
  919              garden      59    0.007190%
  920             wounded      58    0.007068%
  921               asses      58    0.007068%
  922          chaldaeans      58    0.007068%
  923               guide      58    0.007068%
  924                jehu      58    0.007068%
  925              higher      58    0.007068%
  926                less      58    0.007068%
  927              pulled      57    0.006946%
  928               meJhn      57    0.006946%
  929             lebanon      57    0.006946%
  930                left      57    0.006946%
  931           abimelech      57    0.006946%
  932             shechem      57    0.006946%
  933              person      57    0.006946%
  934               sauls      57    0.006946%
  935               metal      57    0.006946%
  936               abner      57    0.006946%
  937             pulling      57    0.006946%
  938               music      56    0.006824%
  939               cross      56    0.006824%
  940          musicmaker      56    0.006824%
  941              youPsm      56    0.006824%
  942              elisha      56    0.006824%
  943                moon      56    0.006824%
  944               shade      56    0.006824%
  945               sides      56    0.006824%
  946              bright      56    0.006824%
  947               lambs      56    0.006824%
  948           necessary      56    0.006824%
  949            israelCh      56    0.006824%
  950               sorts      56    0.006824%
  951            zedekiah      56    0.006824%
  952             twisted      55    0.006702%
  953            pharaohs      55    0.006702%
  954               goats      55    0.006702%
  955                 asa      55    0.006702%
  956            mosesNum      55    0.006702%
